,state,never,rarely,sometimes,frequently,always,mask_negative,mask_positive,votesdem,percd,votesrep,percr,electoraldem,electoralrep,pop,blue,red,deaths,cases,percent change deaths,percent change cases,cases_per_capita,deaths_per_capita
24,MO,0.1340608695652174,0.12716521739130435,0.15165217391304345,0.21053913043478265,0.3765565217391305,0.2612260869565218,0.587095652173913,1071068,38.14,1594511,56.77,0,10,6169270,0,1,602,64819,0.2631578947368421,1.078850706064811,0.010506753635357182,9.75804268576347e-05
25,MS,0.0678170731707317,0.08448780487804879,0.11953658536585365,0.20123170731707304,0.5268780487804877,0.15230487804878046,0.728109756097561,485131,40.11,700714,57.94,0,6,2989260,0,1,1411,55684,1.3040665434380776,1.99584229390681,0.018628021650843353,0.00047202317630450346
26,MT,0.15085714285714286,0.1715892857142857,0.14489285714285716,0.2151428571428572,0.3175357142857144,0.32244642857142863,0.5326785714285714,177709,35.75,279240,56.17,0,3,1086760,0,1,83,6510,0.5738798856053384,2.8687320203584865,0.005990283043174206,7.637380838455593e-05
27,NC,0.053779999999999994,0.04655999999999999,0.09803000000000002,0.19832000000000005,0.6033100000000002,0.10034000000000004,0.8016299999999995,2189316,46.17,2362631,49.83,0,15,10611900,0,1,1380,103151,3.772727272727273,6.40748031496063,0.009720313987127659,0.00013004268792581912
28,ND,0.18098113207547173,0.1640188679245283,0.1459245283018868,0.2518113207547171,0.25724528301886795,0.34500000000000003,0.5090566037735851,93758,27.23,216794,62.96,0,3,761723,0,1,60,8380,0.4361702127659575,0.7890815006468306,0.011001374515407832,7.876879127976968e-05
29,NE,0.12380645161290325,0.11770967741935474,0.14575268817204304,0.2613118279569892,0.3514516129032257,0.2415161290322581,0.6127634408602152,284494,33.7,495961,58.75,0,2,1952570,0,1,123,15249,1.564453125,2.639914364785129,0.0078097072063997705,6.299390034672252e-05
30,NH,0.0551,0.05760000000000001,0.0735,0.1876,0.6263,0.1127,0.8139,348526,46.98,345790,46.61,4,0,1371250,1,0,59,1495,0.1581769436997319,0.2576697690451568,0.00109024612579763,4.302643573381951e-05
31,NJ,0.02290476190476191,0.02123809523809524,0.049428571428571454,0.1579047619047619,0.7484285714285717,0.04414285714285715,0.9063333333333334,2148278,54.99,1601933,41.0,14,0,8936570,1,0,872,20288,0.05783260379360657,0.11674396657881715,0.002270222244104841,9.75765869903106e-05
32,NM,0.042181818181818174,0.04963636363636363,0.07860606060606061,0.15969696969696967,0.6699999999999999,0.0918181818181818,0.8296969696969697,385234,48.26,319667,40.04,5,0,2096640,1,0,287,13184,0.574,1.0739654610622351,0.006288156288156288,0.00013688568376068376
33,NV,0.02929411764705883,0.04182352941176471,0.10676470588235296,0.1935882352941176,0.6286470588235294,0.07111764705882354,0.822235294117647,539260,47.92,512058,45.5,6,0,3139660,1,0,801,50557,0.02390613695700041,0.10398726082704317,0.016102699018365047,0.00025512316620270986
34,NY,0.022838709677419345,0.0224516129032258,0.04938709677419356,0.13527419354838705,0.7699354838709678,0.04529032258064515,0.9052096774193548,4556124,59.01,2819534,36.52,29,0,19440500,1,0,760,41467,0.9935205183585312,1.5438299782982865,0.002133021270029063,3.909364471078419e-05
35,OH,0.09145454545454547,0.10170454545454548,0.15027272727272728,0.2176818181818182,0.4388522727272728,0.19315909090909092,0.6565340909090909,2394164,43.56,2841005,51.69,0,18,11747700,0,1,1289,71745,0.6741573033707865,2.3123620309050774,0.0061071528895017746,0.00010972360547170936
36,OK,0.10036363636363636,0.12079220779220776,0.16663636363636364,0.2260649350649349,0.38610389610389595,0.2211558441558441,0.612168831168831,420375,28.93,949136,65.32,0,7,3954820,0,1,420,45287,0.0,0.9,0.01145109006225315,0.00010619952361927976
37,OR,0.03666666666666666,0.04899999999999999,0.08561111111111111,0.18819444444444444,0.6404166666666667,0.08566666666666664,0.8286111111111113,1002106,50.07,782403,39.09,7,0,4301090,1,0,256,17939,0.448191933240612,1.3571361013903338,0.004170803214998989,5.9519796144698206e-05
38,PA,0.035835820895522376,0.035388059701492544,0.08625373134328354,0.1706567164179104,0.6719701492537313,0.07122388059701491,0.8426268656716418,2926441,47.46,2970733,48.18,0,20,12820900,0,1,1060,47727,1.0796915167095116,3.209112811791383,0.0037225935776739544,8.267750313940519e-05
39,RI,0.0122,0.0096,0.04,0.136,0.8019999999999999,0.021800000000000003,0.938,252525,54.41,180543,38.9,4,0,1056160,1,0,94,5149,1.2132701421800949,1.9890231733008092,0.004875208301772458,8.900166641417967e-05
40,SC,0.09713043478260867,0.07054347826086957,0.10928260869565218,0.1902608695652174,0.5328260869565218,0.16767391304347828,0.7230869565217392,855373,40.67,1155389,54.94,0,9,5210100,0,1,1991,81927,0.1581145584725537,0.5195397544195768,0.01572465019865262,0.00038214237730561793
41,SD,0.14829230769230775,0.10552307692307694,0.16710769230769226,0.21813846153846148,0.3610307692307692,0.2538153846153845,0.5791692307692308,117458,31.74,227721,61.53,0,3,903027,0,1,74,6923,1.843137254901961,3.4342576621998138,0.007666437437640292,8.194660846242693e-05
42,TN,0.11004210526315787,0.1013578947368421,0.15195789473684207,0.2095263157894737,0.4271894736842104,0.2114000000000001,0.6367157894736842,870695,34.72,1522925,60.72,0,11,6897580,0,1,1151,108914,0.098326359832636,0.3055242390078918,0.015790175684805396,0.00016687011966515792
43,TX,0.051889763779527566,0.05967716535433067,0.0971929133858268,0.1886653543307088,0.6025590551181103,0.11156692913385828,0.7912244094488186,3877868,43.24,4685047,52.23,0,36,29472300,0,1,10486,470708,2.5992167101827675,2.160579129196445,0.01597120007600357,0.0003557917095034999
44,UT,0.09306896551724138,0.09696551724137932,0.11827586206896548,0.27186206896551723,0.4197586206896553,0.19003448275862067,0.6916206896551723,310676,27.46,515231,45.54,0,6,3282120,0,1,237,29641,0.7956989247311828,1.0142103721066509,0.009031053099825723,7.220942561515118e-05
45,VA,0.0418721804511278,0.04642857142857144,0.09602255639097736,0.1778421052631579,0.6378270676691729,0.08830075187969921,0.8156691729323307,1981473,49.73,1769443,44.41,13,0,8626210,1,0,827,58490,1.9119601328903653,2.4552299368800723,0.0067804980402749295,9.587060829727076e-05
46,VT,0.04535714285714286,0.08778571428571427,0.06928571428571427,0.13764285714285715,0.66,0.13314285714285715,0.7976428571428571,178573,56.68,95369,30.27,3,0,628061,1,0,2,425,4.164416203335981,2.692437051697116,0.0006766858633158244,3.184404062662703e-06
47,WA,0.03789743589743589,0.03887179487179487,0.07066666666666667,0.18241025641025632,0.6698717948717948,0.07676923076923077,0.8522820512820514,1742718,52.54,1221747,36.83,8,0,7797100,1,0,678,42803,1.369942196531792,1.2964048285514345,0.005489605109592028,8.695540649728745e-05
48,WI,0.08683333333333329,0.10204166666666667,0.1453611111111111,0.2323194444444445,0.4335000000000002,0.18887500000000004,0.6658194444444444,1382536,46.45,1405284,47.22,0,10,5851750,0,1,347,49381,0.03571428571428571,0.3512396694214876,0.008438672192079293,5.929850044858376e-05
49,WV,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,129,7528,1.5,11.423913043478262,0.0042338040684562475,7.255057449931668e-05
50,WY,0.1516086956521739,0.157,0.12300000000000001,0.232,0.3364347826086955,0.3086086956521739,0.5684347826086956,55973,21.63,174419,67.4,0,3,567025,0,1,21,2352,0.4633053221288516,0.9265742574257426,0.004147965257263789,3.70354040827124e-05
