STATE,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,mask_negative,mask_positive
AK,0.05342857142857144,0.06464285714285714,0.09282142857142858,0.3263928571428571,0.4625714285714286,0.11807142857142856,0.7889642857142858
AL,0.08156716417910449,0.08108955223880598,0.1466119402985074,0.21534328358208948,0.47531343283582095,0.1626567164179104,0.6906567164179105
AR,0.09091999999999999,0.08725333333333331,0.13835999999999996,0.22062666666666678,0.4628666666666667,0.17817333333333327,0.6834933333333333
AZ,0.04966666666666667,0.053200000000000004,0.09466666666666668,0.14733333333333334,0.655,0.10286666666666668,0.8023333333333332
CA,0.032310344827586206,0.03072413793103448,0.06368965517241379,0.15860344827586204,0.7146379310344825,0.06303448275862068,0.873241379310345
CO,0.03915624999999999,0.07193749999999997,0.09726562499999998,0.24432812499999998,0.5474374999999999,0.11109375000000002,0.7917656249999998
CT,0.0175,0.023,0.053625000000000006,0.126375,0.7795000000000001,0.0405,0.905875
DC,0.012,0.013000000000000001,0.069,0.16399999999999998,0.743,0.025,0.907
DE,0.019333333333333334,0.006666666666666668,0.06066666666666667,0.09566666666666668,0.8176666666666667,0.026000000000000006,0.9133333333333332
FL,0.05525373134328358,0.05752238805970149,0.11034328358208957,0.1942985074626866,0.5825522388059703,0.11277611940298507,0.7768507462686568
GA,0.08333333333333331,0.07837735849056603,0.1261446540880503,0.19979245283018873,0.5123144654088054,0.16171069182389938,0.7121069182389936
HI,0.0162,0.0188,0.0334,0.11660000000000001,0.8150000000000001,0.034999999999999996,0.9315999999999999
IA,0.10432323232323232,0.11732323232323236,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911
ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184
IL,0.07227450980392158,0.07131372549019607,0.12687254901960782,0.21949019607843157,0.510078431372549,0.1435882352941176,0.7295686274509809
IN,0.08609782608695653,0.09643478260869567,0.13042391304347828,0.23692391304347835,0.4502173913043479,0.18253260869565222,0.6871413043478263
KS,0.11688571428571429,0.11694285714285713,0.15111428571428573,0.21946666666666678,0.3955904761904764,0.23382857142857147,0.6150571428571429
KY,0.08633333333333337,0.08312499999999998,0.13109166666666675,0.20799166666666663,0.4914000000000001,0.16945833333333332,0.6993916666666666
LA,0.08232812499999997,0.07245312500000001,0.11440625,0.2071562500000001,0.52365625,0.15478125,0.7308125000000002
MA,0.0195,0.011785714285714287,0.04014285714285715,0.13114285714285714,0.7972857142857144,0.03128571428571429,0.9284285714285714
MD,0.02291666666666667,0.02091666666666667,0.05154166666666667,0.16183333333333333,0.74275,0.04383333333333334,0.9045833333333334
ME,0.04750000000000001,0.058937500000000004,0.10006249999999997,0.20125,0.5923749999999999,0.10643749999999999,0.7936249999999999
MI,0.04479518072289157,0.06126506024096386,0.10028915662650602,0.21887951807228917,0.5748072289156623,0.10606024096385543,0.793686746987952
MN,0.10319540229885055,0.12233333333333338,0.15570114942528737,0.24312643678160928,0.375528735632184,0.225528735632184,0.6186551724137932
MO,0.1340608695652174,0.12716521739130435,0.15165217391304345,0.21053913043478262,0.37655652173913046,0.2612260869565218,0.587095652173913
MS,0.0678170731707317,0.08448780487804879,0.11953658536585365,0.20123170731707304,0.5268780487804877,0.15230487804878046,0.728109756097561
MT,0.15085714285714286,0.1715892857142857,0.14489285714285716,0.21514285714285722,0.31753571428571437,0.32244642857142863,0.5326785714285714
NC,0.053779999999999994,0.04655999999999999,0.09803000000000002,0.19832000000000005,0.6033100000000002,0.10034000000000003,0.8016299999999995
ND,0.18098113207547173,0.1640188679245283,0.1459245283018868,0.25181132075471707,0.25724528301886795,0.34500000000000003,0.5090566037735851
NE,0.12380645161290325,0.11770967741935477,0.14575268817204304,0.2613118279569892,0.35145161290322574,0.24151612903225816,0.6127634408602152
NH,0.055099999999999996,0.057600000000000005,0.0735,0.18759999999999996,0.6263,0.1127,0.8139
NJ,0.02290476190476191,0.02123809523809524,0.049428571428571454,0.1579047619047619,0.7484285714285717,0.04414285714285715,0.9063333333333334
NM,0.042181818181818174,0.04963636363636363,0.07860606060606061,0.15969696969696967,0.6699999999999999,0.09181818181818181,0.8296969696969697
NV,0.02929411764705883,0.04182352941176471,0.10676470588235296,0.19358823529411762,0.6286470588235294,0.07111764705882354,0.822235294117647
NY,0.022838709677419345,0.022451612903225802,0.049387096774193555,0.13527419354838705,0.7699354838709678,0.04529032258064515,0.9052096774193548
OH,0.09145454545454547,0.10170454545454549,0.15027272727272728,0.2176818181818182,0.4388522727272728,0.19315909090909097,0.6565340909090909
OK,0.10036363636363636,0.12079220779220774,0.16663636363636364,0.22606493506493497,0.38610389610389595,0.2211558441558441,0.612168831168831
OR,0.03666666666666666,0.04899999999999999,0.08561111111111111,0.18819444444444444,0.6404166666666667,0.08566666666666664,0.8286111111111113
PA,0.035835820895522376,0.035388059701492544,0.08625373134328354,0.1706567164179104,0.6719701492537313,0.07122388059701491,0.8426268656716418
RI,0.012199999999999999,0.009600000000000001,0.04,0.136,0.8019999999999999,0.021800000000000003,0.9380000000000001
SC,0.09713043478260867,0.07054347826086958,0.10928260869565218,0.1902608695652174,0.5328260869565218,0.16767391304347828,0.7230869565217392
SD,0.14829230769230775,0.10552307692307694,0.16710769230769223,0.21813846153846148,0.3610307692307692,0.25381538461538455,0.5791692307692308
TN,0.11004210526315789,0.1013578947368421,0.15195789473684207,0.2095263157894737,0.42718947368421034,0.21140000000000006,0.6367157894736842
TX,0.05188976377952756,0.05967716535433067,0.0971929133858268,0.1886653543307088,0.6025590551181103,0.11156692913385828,0.7912244094488186
UT,0.09306896551724138,0.09696551724137932,0.11827586206896548,0.27186206896551723,0.41975862068965525,0.19003448275862067,0.6916206896551723
VA,0.0418721804511278,0.04642857142857144,0.09602255639097737,0.1778421052631579,0.6378270676691729,0.08830075187969921,0.8156691729323307
VT,0.04535714285714286,0.08778571428571427,0.06928571428571427,0.13764285714285715,0.66,0.13314285714285715,0.7976428571428571
WA,0.03789743589743589,0.03887179487179487,0.07066666666666666,0.18241025641025632,0.6698717948717948,0.07676923076923077,0.8522820512820514
WI,0.08683333333333329,0.10204166666666668,0.1453611111111111,0.2323194444444445,0.4335000000000002,0.18887500000000004,0.6658194444444444
WV,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454
WY,0.1516086956521739,0.157,0.12300000000000001,0.232,0.3364347826086955,0.3086086956521739,0.5684347826086956
