,date,state,fips,cases,deaths,never,rarely,sometimes,frequently,always,mask_negative,mask_positive,votesdem,percd,votesrep,percr,electoraldem,electoralrep,pop,blue,red,percent pop affected
11327,2020-04-27,WV,54,1078,37,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0006270844229979697
11328,2020-04-28,WV,54,1096,38,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0006377701665288768
11329,2020-04-29,WV,54,1110,40,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0006467686873970091
11330,2020-04-30,WV,54,1126,44,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0006580168384821745
11331,2020-05-01,WV,54,1152,47,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0006743266575556643
11332,2020-05-02,WV,54,1185,50,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.000694573329508962
11333,2020-05-03,WV,54,1196,50,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0007007598126058029
11334,2020-05-04,WV,54,1225,50,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0007170696316792927
11335,2020-05-05,WV,54,1243,50,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0007271929676559416
11336,2020-05-06,WV,54,1277,51,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.000746877232054981
11337,2020-05-07,WV,54,1298,51,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0007586877906944046
11338,2020-05-08,WV,54,1324,52,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0007738727946593779
11339,2020-05-09,WV,54,1348,53,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0007879329835158346
11340,2020-05-10,WV,54,1363,54,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0007969315043839668
11341,2020-05-11,WV,54,1370,57,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0008025555799265495
11342,2020-05-12,WV,54,1379,58,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0008081796554691322
11343,2020-05-13,WV,54,1405,59,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0008233646594341056
11344,2020-05-14,WV,54,1435,62,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0008419241087246283
11345,2020-05-15,WV,54,1448,64,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0008503602220385024
11346,2020-05-16,WV,54,1470,65,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0008632955957864426
11347,2020-05-17,WV,54,1492,67,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0008767933770886411
11348,2020-05-18,WV,54,1502,68,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.000882979860185482
11349,2020-05-19,WV,54,1514,68,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0008897287508365813
11350,2020-05-20,WV,54,1567,69,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0009200987587665277
11351,2020-05-21,WV,54,1603,71,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.000941470245828342
11352,2020-05-22,WV,54,1705,72,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0009993982239169437
11353,2020-05-23,WV,54,1729,72,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.001012896005219142
11354,2020-05-24,WV,54,1771,72,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0010365171224979894
