,state,never,rarely,sometimes,frequently,always,mask_negative,mask_positive,votesdem,percd,votesrep,percr,electoraldem,electoralrep,pop,blue,red,deaths,cases,percent change deaths,percent change cases
19,MA,0.0195,0.011785714285714288,0.04014285714285715,0.13114285714285714,0.7972857142857144,0.031285714285714285,0.9284285714285714,1995196,60.01,1090893,32.81,11,0,6976600,1,0,983,19745,0.5392217418159357,-0.9173274060312511
20,MD,0.02291666666666667,0.02091666666666667,0.051541666666666666,0.16183333333333333,0.74275,0.043833333333333335,0.9045833333333334,1677928,60.33,943169,33.91,10,0,6083120,1,0,556,40851,0.2571428571428571,-0.9599271402550091
21,ME,0.047500000000000014,0.0589375,0.10006249999999996,0.20125,0.5923749999999999,0.1064375,0.7936249999999999,357735,47.83,335593,44.87,2,0,1345790,1,0,27,1254,0.1734789391575663,-0.9450964935330355
22,MI,0.04479518072289157,0.06126506024096386,0.10028915662650603,0.2188795180722892,0.5748072289156623,0.10606024096385544,0.7936867469879519,2268839,47.27,2279543,47.5,0,16,10045000,0,1,568,42690,0.12164336097017696,-0.9169529882814289
23,MN,0.10319540229885056,0.12233333333333338,0.15570114942528734,0.2431264367816093,0.3755287356321839,0.225528735632184,0.6186551724137932,1367716,46.44,1322951,44.92,10,0,5700670,1,0,390,39651,0.09158336020638504,-0.9050211142131623
24,MO,0.1340608695652174,0.12716521739130435,0.15165217391304345,0.21053913043478265,0.3765565217391305,0.2612260869565218,0.587095652173913,1071068,38.14,1594511,56.77,0,10,6169270,0,1,602,64819,0.2631578947368421,-0.9490653824177618
25,MS,0.0678170731707317,0.08448780487804879,0.11953658536585365,0.20123170731707304,0.5268780487804877,0.15230487804878046,0.728109756097561,485131,40.11,700714,57.94,0,6,2989260,0,1,1411,55684,1.3040665434380776,-0.9106451612903226
26,MT,0.15085714285714286,0.1715892857142857,0.14489285714285716,0.2151428571428572,0.3175357142857144,0.32244642857142863,0.5326785714285714,177709,35.75,279240,56.17,0,3,1086760,0,1,83,6510,0.5738798856053384,-0.9269307368886922
27,NC,0.05378,0.04655999999999999,0.09803000000000002,0.19832000000000005,0.6033100000000002,0.10034000000000004,0.8016299999999995,2189316,46.17,2362631,49.83,0,15,10611900,0,1,1380,103151,3.772727272727273,-0.8966535433070866
28,ND,0.18098113207547173,0.1640188679245283,0.1459245283018868,0.2518113207547171,0.25724528301886795,0.34500000000000003,0.5090566037735851,93758,27.23,216794,62.96,0,3,761723,0,1,60,8380,0.43617021276595747,-0.9790426908150065
29,NE,0.12380645161290325,0.11770967741935474,0.14575268817204304,0.2613118279569892,0.3514516129032257,0.24151612903225814,0.6127634408602152,284494,33.7,495961,58.75,0,2,1952570,0,1,123,15249,1.564453125,-0.9314396115085374
30,NH,0.0551,0.05760000000000001,0.0735,0.1876,0.6263,0.1127,0.8139,348526,46.98,345790,46.61,4,0,1371250,1,0,59,1495,0.1581769436997319,-0.9255429162357808
31,NJ,0.02290476190476191,0.02123809523809524,0.049428571428571454,0.1579047619047619,0.7484285714285717,0.04414285714285715,0.9063333333333334,2148278,54.99,1601933,41.0,14,0,8936570,1,0,872,20288,0.05783260379360658,-0.9082183425210897
32,NM,0.042181818181818174,0.04963636363636363,0.07860606060606061,0.15969696969696967,0.6699999999999999,0.0918181818181818,0.8296969696969697,385234,48.26,319667,40.04,5,0,2096640,1,0,287,13184,0.574,-0.9358911697621375
33,NV,0.02929411764705883,0.04182352941176471,0.10676470588235296,0.1935882352941176,0.6286470588235294,0.07111764705882354,0.822235294117647,539260,47.92,512058,45.5,6,0,3139660,1,0,801,50557,0.023906136957000407,-0.9183714923389422
34,NY,0.022838709677419345,0.0224516129032258,0.04938709677419356,0.13527419354838705,0.7699354838709678,0.04529032258064515,0.9052096774193548,4556124,59.01,2819534,36.52,29,0,19440500,1,0,760,41467,0.9935205183585313,-0.9585572102072888
35,OH,0.09145454545454547,0.10170454545454548,0.15027272727272728,0.2176818181818182,0.4388522727272728,0.19315909090909095,0.6565340909090909,2394164,43.56,2841005,51.69,0,18,11747700,0,1,1289,71745,0.6741573033707865,-0.9588852097130243
36,OK,0.10036363636363636,0.12079220779220776,0.16663636363636364,0.22606493506493494,0.386103896103896,0.2211558441558441,0.612168831168831,420375,28.93,949136,65.32,0,7,3954820,0,1,420,45287,0.0,-0.9333333333333333
37,OR,0.03666666666666666,0.04899999999999999,0.08561111111111111,0.18819444444444444,0.6404166666666667,0.08566666666666664,0.8286111111111113,1002106,50.07,782403,39.09,7,0,4301090,1,0,256,17939,0.44819193324061196,-0.9212144140735836
